PIN:MEMLATENCIES 1.0. 0x0
#
# DCACHE stats
#
# L1 Data Cache:
# Load-Hits:             87566202   87.54%
# Load-Misses:           12467899   12.46%
# Load-Accesses:        100034101  100.00%
# 
# Store-Hits:               29134   90.20%
# Store-Misses:              3166    9.80%
# Store-Accesses:           32300  100.00%
# 
# Total-Hits:            87595336   87.54%
# Total-Misses:          12471065   12.46%
# Total-Accesses:       100066401  100.00%

#
# LOAD stats
#
NumItems 3305
DATA:START
#  counters
# iaddr          : dcache:miss        dcache:hit
0x00007f02be50064d:            0            1
0x00007f02be500655:            0            1
0x00007f02be500660:            0            1
0x00007f02be500665:            0            0
0x00007f02be50066c:            0            0
0x00007f02be500677:            1            0
0x00007f02be5006bd:            0            0
0x00007f02be5006c5:            2            7
0x00007f02be50070b:            0            1
0x00007f02be500719:            0            1
0x00007f02be500738:            0            0
0x00007f02be500742:            0            1
0x00007f02be50074d:            0            0
0x00007f02be500757:            0            0
0x00007f02be500763:            0            1
0x00007f02be50079f:            0            1
0x00007f02be5007b3:            0            1
0x00007f02be5007b6:            0            0
0x00007f02be5007bc:            0            1
0x00007f02be5007c0:            0            0
0x00007f02be5007c4:            0            0
0x00007f02be5007d8:            0            1
0x00007f02be5007ec:            0            1
0x00007f02be5007f3:            0            1
0x00007f02be5007f6:            0            0
0x00007f02be5007fa:            0            0
0x00007f02be5007fd:            0            0
0x00007f02be50080e:            0            1
0x00007f02be500841:            1            0
0x00007f02be500858:            0            0
0x00007f02be50085f:            0            0
0x00007f02be500862:            0            0
0x00007f02be500866:            0            0
0x00007f02be500869:            0            0
0x00007f02be500877:            0            1
0x00007f02be50088e:            0            1
0x00007f02be500891:            0            0
0x00007f02be500897:            0            1
0x00007f02be50089b:            0            0
0x00007f02be50089f:            0            0
0x00007f02be5008aa:            1            0
0x00007f02be5008be:            0            0
0x00007f02be5008c5:            0            0
0x00007f02be5008c8:            0            0
0x00007f02be5008cc:            0            0
0x00007f02be5008cf:            0            0
0x00007f02be5008d7:            0            1
0x00007f02be5008e4:            0            0
0x00007f02be5008ef:            0            1
0x00007f02be5008f7:            0            0
0x00007f02be5008ff:            0            0
0x00007f02be50090a:            1            0
0x00007f02be500917:            0            0
0x00007f02be50091e:            0            0
0x00007f02be500928:            0            0
0x00007f02be50094a:            0            1
0x00007f02be500957:            0            0
0x00007f02be50095e:            0            0
0x00007f02be500962:            0            0
0x00007f02be500987:            0            1
0x00007f02be500992:            0            0
0x00007f02be5009a1:            0            0
0x00007f02be5009a6:            0            1
0x00007f02be5009b3:            0            1
0x00007f02be5009bc:            0            0
0x00007f02be5009c8:            0            0
0x00007f02be5009cf:            0            0
0x00007f02be5009d2:            0            1
0x00007f02be5009df:            0            1
0x00007f02be5009e4:            0            1
0x00007f02be5009e8:            1            0
0x00007f02be5009ef:            0            0
0x00007f02be5009fb:            0            0
0x00007f02be500a09:            0            1
0x00007f02be500a17:            0            0
0x00007f02be500a1e:            0            0
0x00007f02be500a23:            0            1
0x00007f02be500a2a:            0            1
0x00007f02be500a34:            0            0
0x00007f02be500a39:            0            0
0x00007f02be500a43:            0            0
0x00007f02be500a48:            0            1
0x00007f02be500a54:            0            1
0x00007f02be500a66:            0            0
0x00007f02be500a6d:            0            0
0x00007f02be500a77:            0            0
0x00007f02be500a7e:            0            0
0x00007f02be500a85:            0            0
0x00007f02be500a92:            0            1
0x00007f02be500aa0:            0            0
0x00007f02be500ada:            0            1
0x00007f02be500ade:            0            0
0x00007f02be500ae6:            0            1
0x00007f02be500aea:            0            0
0x00007f02be500af1:            0            1
0x00007f02be500af5:            0            0
0x00007f02be500b01:            0            1
0x00007f02be500b04:            0            0
0x00007f02be500b0f:            0            1
0x00007f02be500b14:            0            1
0x00007f02be500b1a:            0            0
0x00007f02be500b1e:            0            1
0x00007f02be500b22:            0            1
0x00007f02be500b2c:            0            0
0x00007f02be500b34:            0            1
0x00007f02be500b3e:            0            1
0x00007f02be500b4c:            0            0
0x00007f02be500b59:            1            1
0x00007f02be500b5d:            0            2
0x00007f02be500b69:            0            2
0x00007f02be500b72:            0            0
0x00007f02be500b79:            1            1
0x00007f02be500b80:            0            2
0x00007f02be500b89:            0            0
0x00007f02be500b90:            0            2
0x00007f02be500b9a:            0            1
0x00007f02be500ba7:            0            0
0x00007f02be500bba:            1            0
0x00007f02be500bbe:            0            1
0x00007f02be500bc7:            0            0
0x00007f02be500bd0:            0            1
0x00007f02be500bd8:            0            0
0x00007f02be500be5:            0            0
0x00007f02be500bf6:            0            0
0x00007f02be500c30:            0            1
0x00007f02be500c34:            0            1
0x00007f02be500c37:            0            0
0x00007f02be500ce3:            0            0
0x00007f02be500d03:            0            0
0x00007f02be500f67:            0            1
0x00007f02be500f6e:            0            0
